tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
600x600,conjunto 24,10,526191,575,"577,30"
600x600,conjunto 28,1,644543,583,"584,20"
600x600,conjunto 28,2,598101,583,"584,20"
600x600,conjunto 28,3,605430,583,"584,20"
600x600,conjunto 28,4,660501,583,"584,20"
600x600,conjunto 28,5,613300,583,"584,20"
600x600,conjunto 28,6,640705,583,"584,20"
600x600,conjunto 28,7,638591,583,"584,20"
600x600,conjunto 28,8,602053,583,"584,20"
600x600,conjunto 28,9,586603,582,"584,20"
600x600,conjunto 28,10,570388,584,"584,20"
600x600,conjunto 30,1,662264,586,"586,60"
600x600,conjunto 30,2,652117,585,"586,60"
600x600,conjunto 30,3,643290,585,"586,60"
600x600,conjunto 30,4,639086,584,"586,60"
600x600,conjunto 30,5,649539,586,"586,60"
600x600,conjunto 30,6,664906,584,"586,60"
600x600,conjunto 30,7,642306,586,"586,60"
600x600,conjunto 30,8,656046,586,"586,60"
600x600,conjunto 30,9,616943,586,"586,60"
600x600,conjunto 30,10,695098,585,"586,60"
600x600,conjunto 34,1,715619,589,"590,00"
600x600,conjunto 34,2,712112,589,"590,00"
600x600,conjunto 34,3,706406,587,"590,00"
600x600,conjunto 34,4,726979,589,"590,00"
600x600,conjunto 34,5,717996,589,"590,00"
600x600,conjunto 34,6,714164,588,"590,00"
600x600,conjunto 34,7,720473,589,"590,00"
600x600,conjunto 34,8,711796,589,"590,00"
600x600,conjunto 34,9,715469,588,"590,00"
600x600,conjunto 34,10,742597,589,"590,00"
600x600,conjunto 38,1,784969,592,"591,60"
600x600,conjunto 38,2,400532,590,"591,60"
600x600,conjunto 38,3,774431,591,"591,60"
600x600,conjunto 38,4,788493,591,"591,60"
600x600,conjunto 38,5,398000,591,"591,60"
600x600,conjunto 38,6,775855,591,"591,60"
600x600,conjunto 38,7,817637,591,"591,60"
600x600,conjunto 38,8,817511,591,"591,60"
600x600,conjunto 38,9,779673,591,"591,60"
600x600,conjunto 38,10,781718,591,"591,60"
600x600,conjunto 40,1,777633,592,"592,90"
600x600,conjunto 40,2,827296,592,"592,90"
600x600,conjunto 40,3,832801,592,"592,90"
600x600,conjunto 40,4,823378,593,"592,90"
600x600,conjunto 40,5,780915,592,"592,90"
600x600,conjunto 40,6,817688,593,"592,90"
600x600,conjunto 40,7,816444,592,"592,90"
600x600,conjunto 40,8,845393,592,"592,90"
600x600,conjunto 40,9,855519,592,"592,90"
600x600,conjunto 40,10,882180,592,"592,90"
800x800,conjunto 2,1,175358,131,"161,50"
800x800,conjunto 2,2,193863,129,"161,50"
800x800,conjunto 2,3,187604,140,"161,50"
800x800,conjunto 2,4,188892,139,"161,50"
800x800,conjunto 2,5,190271,144,"161,50"
800x800,conjunto 2,6,188882,132,"161,50"
800x800,conjunto 2,7,186890,143,"161,50"
800x800,conjunto 2,8,194515,129,"161,50"
800x800,conjunto 2,9,186630,136,"161,50"
800x800,conjunto 2,10,181550,141,"161,50"
800x800,conjunto 4,1,239648,334,"354,70"
800x800,conjunto 4,2,250667,322,"354,70"
800x800,conjunto 4,3,257605,329,"354,70"
800x800,conjunto 4,4,229591,315,"354,70"
